year,precipitation
1950,4.124273972602739
1951,3.2164383561643834
1952,4.317377049180328
1953,2.3691780821917807
1954,3.781287671232877
1955,3.807013698630137
1956,3.0433879781420767
1957,3.6701643835616435
1958,4.326767123287671
1959,3.4981917808219176
1960,4.280546448087432
1961,3.9708767123287667
1962,4.117369863013699
1963,3.3054520547945208
1964,4.032540983606558
1965,4.16172602739726
1966,3.3961917808219177
1967,4.557095890410959
1968,4.33707650273224
1969,3.318767123287671
1970,3.167150684931507
1971,3.257369863013699
1972,3.0645901639344264
1973,4.273534246575342
1974,3.937041095890411
1975,3.2968219178082188
1976,4.0798907103825135
1977,4.043287671232877
1978,3.550438356164384
1979,4.431863013698631
1980,2.6389344262295085
1981,4.012904109589041
1982,3.62186301369863
1983,4.296164383561644
1984,3.812295081967213
1985,4.283068493150685
1986,3.5594520547945208
1987,3.787068493150685
1988,4.29551912568306
1989,3.8331780821917807
1990,4.327150684931507
1991,2.7027123287671233
1992,4.139180327868853
1993,3.546301369863014
1994,4.908356164383561
1995,3.2124931506849315
1996,3.8006830601092894
1997,3.122602739726027
1998,3.385342465753425
1999,3.1984931506849317
2000,4.08983606557377
2001,3.183808219178082
2002,3.0582739726027395
2003,3.41786301369863
2004,3.640300546448087
2005,3.6926301369863013
2006,3.0595068493150688
2007,3.3133150684931505
2008,3.713360655737705
2009,4.04531506849315
2010,3.8644109589041093
2011,3.790191780821918
2012,3.068934426229508
2013,3.8843013698630138
2014,3.8364109589041093
2015,3.723205479452055
2016,3.6165027322404373
2017,3.577671232876712
2018,3.7088493150684934
2019,3.6076164383561644
2020,2.914371584699454
2021,3.6566027397260275
2022,3.5487123287671234
2023,3.372054794520548
2024,3.7807377049180326
2025,4.351397260273973
2026,2.9150958904109587
2027,3.7934246575342465
2028,4.126666666666666
2029,3.3533698630136985
2030,3.4944931506849315
2031,3.6235616438356164
2032,4.147267759562842
2033,4.163890410958904
2034,4.146520547945205
2035,3.702109589041096
2036,2.7567486338797815
2037,2.8918356164383563
2038,3.9281643835616435
2039,3.1036164383561644
2040,3.502896174863388
2041,4.067287671232877
2042,3.531369863013699
2043,2.897534246575342
2044,3.1512021857923496
2045,2.681369863013699
2046,3.80372602739726
2047,2.5182465753424657
2048,4.178907103825137
2049,3.3241643835616435
2050,3.3050136986301366
