year,precipitation
1950,2.154109589041096
1951,2.5761643835616437
1952,3.9963387978142078
1953,2.7864931506849318
1954,2.510931506849315
1955,2.803123287671233
1956,2.426967213114754
1957,2.7197260273972605
1958,3.475205479452055
1959,3.3736438356164387
1960,3.599426229508197
1961,2.5136986301369864
1962,3.038876712328767
1963,3.4351506849315068
1964,3.86672131147541
1965,3.3683013698630138
1966,3.070602739726027
1967,2.736219178082192
1968,2.8809562841530054
1969,2.8303013698630135
1970,2.623643835616438
1971,3.053753424657534
1972,3.25879781420765
1973,4.225506849315068
1974,2.5599178082191782
1975,3.3472602739726027
1976,3.211366120218579
1977,2.1987123287671233
1978,2.8183835616438357
1979,2.4805205479452055
1980,2.841994535519126
1981,2.9777808219178077
1982,2.619123287671233
1983,3.1640821917808224
1984,3.601639344262295
1985,2.592821917808219
1986,2.8444383561643836
1987,3.4872876712328766
1988,2.579153005464481
1989,2.7166849315068493
1990,2.433150684931507
1991,3.018767123287671
1992,2.5674863387978144
1993,3.3177260273972604
1994,2.706109589041096
1995,3.314575342465753
1996,2.73327868852459
1997,2.6224383561643836
1998,3.0582739726027395
1999,2.5985205479452054
2000,3.0294535519125683
2001,2.876986301369863
2002,2.6798082191780823
2003,2.8326575342465756
2004,2.7713661202185795
2005,2.642931506849315
2006,2.2327123287671236
2007,3.381780821917808
2008,3.8043989071038253
2009,3.9676164383561647
2010,3.185890410958904
2011,3.8155616438356166
2012,2.8952185792349727
2013,2.740027397260274
2014,2.5733972602739725
2015,3.5234520547945203
2016,3.2917486338797812
2017,2.6222739726027395
2018,3.262931506849315
2019,3.401698630136986
2020,2.9625409836065573
2021,3.1143835616438356
2022,2.9558082191780817
2023,3.556
2024,3.588633879781421
2025,3.6482191780821913
2026,3.3816164383561644
2027,4.20372602739726
2028,3.1737158469945355
2029,2.906054794520548
2030,2.4694520547945205
2031,2.617095890410959
2032,2.9912568306010927
2033,4.056767123287671
2034,3.0080273972602742
2035,3.3724383561643836
2036,2.9142622950819677
2037,3.666301369863014
2038,2.9424383561643834
2039,2.2082465753424656
2040,3.072841530054645
2041,3.5204383561643837
2042,3.6218904109589043
2043,2.870356164383562
2044,3.224426229508197
2045,2.523753424657534
2046,3.5805753424657536
2047,2.7633424657534245
2048,3.4959562841530056
2049,3.1896712328767123
2050,2.894657534246575
