year,precipitation
1950,2.608986301369863
1951,2.0113424657534247
1952,1.8537158469945356
1953,2.803972602739726
1954,2.117178082191781
1955,1.5307671232876712
1956,2.719754098360656
1957,2.096876712328767
1958,2.036191780821918
1959,2.416164383561644
1960,2.088879781420765
1961,2.547698630136986
1962,2.1903287671232876
1963,3.099643835616438
1964,2.0245628415300545
1965,2.2655616438356163
1966,2.73
1967,2.8091780821917807
1968,1.8931967213114753
1969,2.647342465753425
1970,2.709698630136986
1971,2.5260000000000002
1972,2.1963661202185794
1973,2.3254794520547946
1974,1.980109589041096
1975,3.0714246575342465
1976,1.926120218579235
1977,1.9722739726027396
1978,2.4756438356164385
1979,2.114657534246575
1980,2.0518579234972676
1981,2.416109589041096
1982,2.3323835616438355
1983,2.6915616438356165
1984,1.9881420765027322
1985,3.200767123287671
1986,2.6616712328767123
1987,2.6974794520547944
1988,1.4574043715846994
1989,2.8644657534246574
1990,2.481123287671233
1991,2.0042465753424654
1992,1.484125683060109
1993,2.523917808219178
1994,2.9132054794520545
1995,2.251095890410959
1996,2.544945355191257
1997,2.3436986301369864
1998,1.9884383561643835
1999,2.548684931506849
2000,2.6863114754098363
2001,2.446438356164384
2002,2.5207671232876714
2003,2.3232054794520547
2004,2.226857923497268
2005,2.944739726027397
2006,3.101972602739726
2007,2.700027397260274
2008,2.716284153005464
2009,2.7953150684931507
2010,2.60013698630137
2011,3.334191780821918
2012,3.306284153005464
2013,3.086109589041096
2014,2.2044931506849315
2015,2.6009589041095893
2016,2.8801366120218583
2017,3.3290684931506846
2018,2.299013698630137
2019,2.5533698630136987
2020,1.8789890710382515
2021,1.9864109589041095
2022,1.9738082191780824
2023,2.245643835616438
2024,2.356912568306011
2025,3.575205479452055
2026,1.797232876712329
2027,2.2497260273972604
2028,2.917377049180328
2029,2.6549863013698634
2030,3.8910958904109587
2031,2.5489041095890412
2032,2.54775956284153
2033,3.1177260273972602
2034,3.0482739726027392
2035,3.039150684931507
2036,2.460846994535519
2037,3.0889589041095893
2038,2.7876164383561646
2039,2.255260273972603
2040,2.6516939890710383
2041,2.360986301369863
2042,2.192054794520548
2043,2.3777534246575343
2044,2.8662568306010927
2045,3.0032876712328767
2046,2.4756712328767123
2047,2.29986301369863
2048,3.2045081967213114
2049,3.6627123287671237
2050,2.1256438356164384
