year,precipitation
1950,2.6072328767123287
1951,3.0585205479452053
1952,3.3822404371584702
1953,3.0274246575342465
1954,2.095890410958904
1955,2.956986301369863
1956,3.3983879781420763
1957,3.482027397260274
1958,2.9612328767123284
1959,3.558767123287671
1960,2.308087431693989
1961,2.628328767123288
1962,3.9990136986301374
1963,2.0362191780821917
1964,3.364617486338798
1965,2.1415342465753424
1966,2.885041095890411
1967,3.4312054794520552
1968,2.727650273224044
1969,2.6193424657534243
1970,3.291068493150685
1971,2.315780821917808
1972,2.733032786885246
1973,2.329205479452055
1974,2.2575068493150687
1975,3.300794520547945
1976,2.1401092896174863
1977,2.0226849315068494
1978,2.608191780821918
1979,2.6592328767123288
1980,2.888333333333333
1981,2.883780821917808
1982,2.5933972602739725
1983,3.0602191780821917
1984,2.5639344262295083
1985,2.7286301369863013
1986,3.1399999999999997
1987,3.3918356164383563
1988,2.3730054644808742
1989,2.5823561643835613
1990,2.641561643835616
1991,2.91386301369863
1992,2.928114754098361
1993,2.969068493150685
1994,2.7893424657534247
1995,2.627534246575342
1996,4.482049180327869
1997,3.692739726027397
1998,3.522904109589041
1999,3.0094520547945205
2000,2.8209562841530054
2001,2.072958904109589
2002,2.736164383561644
2003,3.377123287671233
2004,2.864918032786885
2005,2.6633698630136986
2006,2.668027397260274
2007,3.5214520547945205
2008,1.9816120218579234
2009,3.6600273972602744
2010,3.389095890410959
2011,2.9692054794520546
2012,2.34620218579235
2013,2.7614246575342465
2014,2.7590958904109586
2015,3.4152328767123286
2016,2.8510655737704917
2017,2.966191780821918
2018,2.990712328767123
2019,2.802931506849315
2020,2.709398907103825
2021,3.155178082191781
2022,3.093095890410959
2023,3.1628219178082193
2024,3.0055737704918033
2025,2.609123287671233
2026,3.5424383561643835
2027,2.8529589041095886
2028,3.4510655737704914
2029,3.6825479452054797
2030,2.574794520547945
2031,2.5404657534246575
2032,3.5114207650273226
2033,2.1659452054794524
2034,3.3847397260273975
2035,2.565780821917808
2036,3.3143715846994533
2037,2.1573424657534246
2038,2.965452054794521
2039,3.7001095890410958
2040,2.386857923497268
2041,2.6187397260273975
2042,2.8022191780821917
2043,2.6307671232876713
2044,2.541530054644809
2045,3.6380547945205484
2046,2.7217808219178083
2047,3.2229315068493154
2048,3.4433333333333334
2049,2.150493150684931
2050,2.680904109589041
